"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"2001 W 63RD ST","2001","W","63RD","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=2001%20and%20direction=%27W%27%20and%20street_name=%2763RD%27%20and%20street_type=%27ST%27)",,"41.77920515548289","-87.67396342889232","POINT (-87.67396342889232 41.77920515548289)"
"2001 W SUMMERDALE AVE","2001","W","SUMMERDALE","AVE",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=2001%20and%20direction=%27W%27%20and%20street_name=%27SUMMERDALE%27%20and%20street_type=%27AVE%27)",,"41.9786494713959","-87.67960402018089","POINT (-87.67960402018089 41.9786494713959)"
"202 N WOLCOTT AVE","202","N","WOLCOTT","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=202%20and%20direction=%27N%27%20and%20street_name=%27WOLCOTT%27%20and%20street_type=%27AVE%27)",,,,"41.885361021678186","-87.674450385017","POINT (-87.674450385017 41.885361021678186)"
"2036 W COULTER ST","2036","W","COULTER","ST","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=2036%20and%20direction=%27W%27%20and%20street_name=%27COULTER%27%20and%20street_type=%27ST%27)",,,,,,,"41.84903275842575","-87.67718786081088","POINT (-87.67718786081088 41.84903275842575)"
"2041 N BISSELL ST","2041","N","BISSELL","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=2041%20and%20direction=%27N%27%20and%20street_name=%27BISSELL%27%20and%20street_type=%27ST%27)",,,,"41.91934537028347","-87.6520429548066","POINT (-87.6520429548066 41.91934537028347)"
"2062 N MILWAUKEE AVE","2062","N","MILWAUKEE","AVE",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=2062%20and%20direction=%27N%27%20and%20street_name=%27MILWAUKEE%27%20and%20street_type=%27AVE%27)",,,"41.91870069748277","-87.69070292634873","POINT (-87.69070292634873 41.91870069748277)"
"21 W MONROE ST","21","W","MONROE","ST",,,,,,"Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=21%20and%20direction=%27W%27%20and%20street_name=%27MONROE%27%20and%20street_type=%27ST%27)",,"41.88062550990034","-87.62858299977577","POINT (-87.62858299977577 41.88062550990034)"
"2101 N MONITOR AVE","2101","N","MONITOR","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=2101%20and%20direction=%27N%27%20and%20street_name=%27MONITOR%27%20and%20street_type=%27AVE%27)","Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=2101%20and%20direction=%27N%27%20and%20street_name=%27MONITOR%27%20and%20street_type=%27AVE%27)",,,"41.918062217369645","-87.77171404855542","POINT (-87.77171404855542 41.918062217369645)"
"2111 W BRADLEY PL","2111","W","BRADLEY","PL",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2111%20and%20direction=%27W%27%20and%20street_name=%27BRADLEY%27%20and%20street_type=%27PL%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=2111%20and%20direction=%27W%27%20and%20street_name=%27BRADLEY%27%20and%20street_type=%27PL%27)",,,,"41.94945158568055","-87.681550338543","POINT (-87.681550338543 41.94945158568055)"
"2112 N MAGNOLIA AVE","2112","N","MAGNOLIA","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2112%20and%20direction=%27N%27%20and%20street_name=%27MAGNOLIA%27%20and%20street_type=%27AVE%27)",,,,,,"41.920263084171744","-87.65965817018476","POINT (-87.65965817018476 41.920263084171744)"
"2130 W RICE ST","2130","W","RICE","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2130%20and%20direction=%27W%27%20and%20street_name=%27RICE%27%20and%20street_type=%27ST%27)",,,,,,"41.89687741220388","-87.68079168014896","POINT (-87.68079168014896 41.89687741220388)"
"2139 E 79TH ST","2139","E","79TH","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=2139%20and%20direction=%27E%27%20and%20street_name=%2779TH%27%20and%20street_type=%27ST%27)",,,"41.7515473065046","-87.5720082719649","POINT (-87.5720082719649 41.7515473065046)"
"2140 W WASHBURNE AVE","2140","W","WASHBURNE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2140%20and%20direction=%27W%27%20and%20street_name=%27WASHBURNE%27%20and%20street_type=%27AVE%27)",,,,,,"41.86589849354276","-87.68031479148893","POINT (-87.68031479148893 41.86589849354276)"
"215 W SUPERIOR ST","215","W","SUPERIOR","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=215%20and%20direction=%27W%27%20and%20street_name=%27SUPERIOR%27%20and%20street_type=%27ST%27)","Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=215%20and%20direction=%27W%27%20and%20street_name=%27SUPERIOR%27%20and%20street_type=%27ST%27)",,"41.895475247708035","-87.63483941384645","POINT (-87.63483941384645 41.895475247708035)"
"2159 W FARRAGUT AVE","2159","W","FARRAGUT","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2159%20and%20direction=%27W%27%20and%20street_name=%27FARRAGUT%27%20and%20street_type=%27AVE%27)",,,,,,"41.976763345526926","-87.6841946130093","POINT (-87.6841946130093 41.976763345526926)"
"2200 W POLK ST","2200","W","POLK","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=2200%20and%20direction=%27W%27%20and%20street_name=%27POLK%27%20and%20street_type=%27ST%27)",,,,"41.87151156483896","-87.68133326102289","POINT (-87.68133326102289 41.87151156483896)"
"2215 W AUGUSTA BLVD","2215","W","AUGUSTA","BLVD","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=2215%20and%20direction=%27W%27%20and%20street_name=%27AUGUSTA%27%20and%20street_type=%27BLVD%27)","Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2215%20and%20direction=%27W%27%20and%20street_name=%27AUGUSTA%27%20and%20street_type=%27BLVD%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=2215%20and%20direction=%27W%27%20and%20street_name=%27AUGUSTA%27%20and%20street_type=%27BLVD%27)",,,,"41.8993448028038","-87.68269478843247","POINT (-87.68269478843247 41.8993448028038)"
"222 E 72ND PL","222","E","72ND","PL",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=222%20and%20direction=%27E%27%20and%20street_name=%2772ND%27%20and%20street_type=%27PL%27)",,,,,,
"2242 W HURON ST","2242","W","HURON","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2242%20and%20direction=%27W%27%20and%20street_name=%27HURON%27%20and%20street_type=%27ST%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=2242%20and%20direction=%27W%27%20and%20street_name=%27HURON%27%20and%20street_type=%27ST%27)",,,,"41.89409396534378","-87.68361862988694","POINT (-87.68361862988694 41.89409396534378)"
"2290 S GROVE ST","2290","S","GROVE","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=2290%20and%20direction=%27S%27%20and%20street_name=%27GROVE%27%20and%20street_type=%27ST%27)",,,"41.850385403070945","-87.64069279077634","POINT (-87.64069279077634 41.850385403070945)"
"2307 W FULLERTON AVE","2307","W","FULLERTON","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=2307%20and%20direction=%27W%27%20and%20street_name=%27FULLERTON%27%20and%20street_type=%27AVE%27)",,,,,,,"41.92481724743241","-87.68552704218473","POINT (-87.68552704218473 41.92481724743241)"
