"zip_code","week_number","week_start","week_end","cases_weekly","cases_cumulative","case_rate_weekly","case_rate_cumulative","tests_weekly","tests_cumulative","test_rate_weekly","test_rate_cumulative","percent_tested_positive_weekly","percent_tested_positive_cumulative","deaths_weekly","deaths_cumulative","death_rate_weekly","death_rate_cumulative","population","row_id","zip_code_location"
"60617","45","2020-11-01T00:00:00.000","2020-11-07T00:00:00.000","407","3430","493.1","4155.9","2269","38257","2749.2","46353","0.191","0.101","1","89","1.2","107.8","82534","60617-2020-45","POINT (-87.556897 41.721257)"
"60617","46","2020-11-08T00:00:00.000","2020-11-14T00:00:00.000","521","3951","631.3","4787.1","3003","41260","3638.5","49991.5","0.188","0.107","4","93","4.8","112.7","82534","60617-2020-46","POINT (-87.556897 41.721257)"
"60617","47","2020-11-15T00:00:00.000","2020-11-21T00:00:00.000","469","4420","568.3","5355.4","3192","44452","3867.5","53859","0.171","0.112","4","97","4.8","117.5","82534","60617-2020-47","POINT (-87.556897 41.721257)"
"60617","48","2020-11-22T00:00:00.000","2020-11-28T00:00:00.000","292","4712","353.8","5709.2","2091","46543","2533.5","56392.5","0.171","0.114","3","100","3.6","121.2","82534","60617-2020-48","POINT (-87.556897 41.721257)"
"60617","49","2020-11-29T00:00:00.000","2020-12-05T00:00:00.000","436","5148","528.3","6237.4","2816","49359","3411.9","59804.4","0.173","0.118","4","104","4.8","126","82534","60617-2020-49","POINT (-87.556897 41.721257)"
"60617","50","2020-12-06T00:00:00.000","2020-12-12T00:00:00.000","316","5464","382.9","6620.3","2626","51985","3181.7","62986.2","0.145","0.119","4","108","4.8","130.9","82534","60617-2020-50","POINT (-87.556897 41.721257)"
"60618","43","2021-10-24T00:00:00.000","2021-10-30T00:00:00.000","75","9991","79.5","10584.2","5188","204235","5496.1","216362.1","0.017","0.056","1","136","1.1","144.1","94395","60618-2021-43","POINT (-87.703343 41.946699)"
"60618","44","2021-10-31T00:00:00.000","2021-11-06T00:00:00.000","67","10058","71","10655.2","5490","209725","5816","222178.1","0.02","0.055","0","136","0","144.1","94395","60618-2021-44","POINT (-87.703343 41.946699)"
"60618","45","2021-11-07T00:00:00.000","2021-11-13T00:00:00.000","115","10173","121.8","10777.1","5432","215157","5754.5","227932.6","0.027","0.054","1","137","1.1","145.1","94395","60618-2021-45","POINT (-87.703343 41.946699)"
"60618","46","2021-11-14T00:00:00.000","2021-11-20T00:00:00.000","157","10330","166.3","10943.4","5995","221152","6351","234283.6","0.035","0.053","0","137","0","145.1","94395","60618-2021-46","POINT (-87.703343 41.946699)"
"60618","47","2021-11-21T00:00:00.000","2021-11-27T00:00:00.000","141","10471","149.4","11092.7","4944","226096","5237.6","239521.2","0.042","0.053","0","137","0","145.1","94395","60618-2021-47","POINT (-87.703343 41.946699)"
"60618","48","2021-11-28T00:00:00.000","2021-12-04T00:00:00.000","226","10697","239.4","11332.2","7280","233376","7712.3","247233.4","0.039","0.053","0","137","0","145.1","94395","60618-2021-48","POINT (-87.703343 41.946699)"
"60618","49","2021-12-05T00:00:00.000","2021-12-11T00:00:00.000","229","10926","242.6","11574.8","7314","240690","7748.3","254981.7","0.04","0.052","0","137","0","145.1","94395","60618-2021-49","POINT (-87.703343 41.946699)"
"60618","50","2021-12-12T00:00:00.000","2021-12-18T00:00:00.000","561","11487","594.3","12169.1","9781","250471","10361.8","265343.5","0.066","0.053","2","139","2.1","147.3","94395","60618-2021-50","POINT (-87.703343 41.946699)"
"60618","51","2021-12-19T00:00:00.000","2021-12-25T00:00:00.000","1098","12585","1163.2","13332.3","11044","261515","11699.8","277043.3","0.113","0.055","0","139","0","147.3","94395","60618-2021-51","POINT (-87.703343 41.946699)"
"60618","52","2021-12-26T00:00:00.000","2022-01-01T00:00:00.000","1562","14147","1654.7","14987","10141","271656","10743.2","287786.4","0.175","0.06","2","141","2.1","149.4","94395","60618-2021-52","POINT (-87.703343 41.946699)"
"60618","10","2022-03-06T00:00:00.000","2022-03-12T00:00:00.000","48","17705","50.9","18756.3","4968","336535","5263","356517.8","0.011","0.061","0","169","0","179","94395","60618-2022-10","POINT (-87.703343 41.946699)"
"60618","11","2022-03-13T00:00:00.000","2022-03-19T00:00:00.000","62","17767","65.7","18822","4913","341448","5204.7","361722.5","0.016","0.06","0","169","0","179","94395","60618-2022-11","POINT (-87.703343 41.946699)"
"60618","12","2022-03-20T00:00:00.000","2022-03-26T00:00:00.000","98","17865","103.8","18925.8","4958","346406","5252.4","366974.9","0.025","0.06","1","170","1.1","180.1","94395","60618-2022-12","POINT (-87.703343 41.946699)"
"60621","33","2023-08-13T00:00:00.000","2023-08-19T00:00:00.000","8","7511","27.5","25862.5","223","194364","767.9","669251.4","0.04","0.043","0","154","0","530.3","29042","60621-2023-33","POINT (-87.638812 41.776931)"
"60621","34","2023-08-20T00:00:00.000","2023-08-26T00:00:00.000","11","7522","37.9","25900.4","265","194629","912.5","670163.9","0.038","0.043","0","154","0","530.3","29042","60621-2023-34","POINT (-87.638812 41.776931)"
"60621","35","2023-08-27T00:00:00.000","2023-09-02T00:00:00.000","13","7535","44.8","25945.2","267","194896","919.4","671083.3","0.049","0.043","0","154","0","530.3","29042","60621-2023-35","POINT (-87.638812 41.776931)"
"60621","42","2023-10-15T00:00:00.000","2023-10-21T00:00:00.000","6","7597","20.7","26158.7","272","196566","936.6","676833.6","0.018","0.043","0","154","0","530.3","29042","60621-2023-42","POINT (-87.638812 41.776931)"
"60621","51","2023-12-17T00:00:00.000","2023-12-23T00:00:00.000","28","7772","96.4","26761.2","214","199002","736.9","685221.4","0.089","0.043","0","154","0","530.3","29042","60621-2023-51","POINT (-87.638812 41.776931)"
"60621","52","2023-12-24T00:00:00.000","2023-12-30T00:00:00.000","26","7798","89.5","26850.8","248","199250","853.9","686075.3","0.093","0.043","0","154","0","530.3","29042","60621-2023-52","POINT (-87.638812 41.776931)"
"60621","16","2024-04-14T00:00:00.000","2024-04-20T00:00:00.000","3","7958","10.3","27401.7","0","0","0","0","0","0","0","157","0","540.6","29042","60621-2024-16","POINT (-87.638812 41.776931)"
"60621","17","2024-04-21T00:00:00.000","2024-04-27T00:00:00.000","1","7959","3.4","27405.1","0","0","0","0","0","0","0","157","0","540.6","29042","60621-2024-17","POINT (-87.638812 41.776931)"
"60624","11","2023-03-12T00:00:00.000","2023-03-18T00:00:00.000","34","9465","94","26176.8","1342","215322","3711.5","595503.1","0.025","0.048","0","118","0","326.3","36158","60624-2023-11","POINT (-87.722735 41.879417)"
