"case_","date_of_occurrence","block","_iucr","_primary_decsription","_secondary_description","_location_description","arrest","domestic","beat","ward","fbi_cd","x_coordinate","y_coordinate","latitude","longitude","location"
"JG251464","2023-05-05T09:00:00.000","112XX S TALMAN AVE","1122","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","RESIDENCE","N","N","2212","19","10","1160728","1829895","41.688916872","-87.687209185","
,  
(41.688916872, -87.687209185)"
"JG249400","2023-05-05T09:00:00.000","043XX W LE MOYNE ST","0810","THEFT","OVER $500","APARTMENT","N","N","2534","36","06","1146960","1909501","41.907640473","-87.735587478","
,  
(41.907640473, -87.735587478)"
"JG251697","2023-05-05T09:00:00.000","047XX N MALDEN ST","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","N","N","1913","46","08A","1166621","1931521","41.967665781","-87.662730846","
,  
(41.967665781, -87.662730846)"
"JG252399","2023-05-05T09:00:00.000","038XX S ELLIS AVE","0580","STALKING","SIMPLE","APARTMENT","N","Y","212","4","08A","1182391","1880075","41.826142757","-87.606349642","
,  
(41.826142757, -87.606349642)"
"JG265350","2023-05-05T09:00:00.000","027XX N LAVERGNE AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","APARTMENT","N","N","2521","31","26","1142576","1917934","41.930864216","-87.751481933","
,  
(41.930864216, -87.751481933)"
"JG382127","2023-05-05T09:00:00.000","012XX E 74TH ST","1120","DECEPTIVE PRACTICE","FORGERY","COMMERCIAL / BUSINESS OFFICE","N","N","324","8","10","1186041","1856193","41.76052315","-87.593712588","
,  
(41.76052315, -87.593712588)"
"JG256641","2023-05-05T09:00:00.000","133XX S BRANDON AVE","1750","OFFENSE INVOLVING CHILDREN","CHILD ABUSE","DAY CARE CENTER","N","N","433","10","08B","1199440","1817080","41.652866975","-87.545916593","
,  
(41.652866975, -87.545916593)"
"JG249207","2023-05-05T09:00:00.000","027XX W FITCH AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","N","N","2411","50","11","1156866","1947313","42.011203645","-87.698168443","
,  
(42.011203645, -87.698168443)"
"JG248871","2023-05-05T09:10:00.000","076XX S CICERO AVE","0460","BATTERY","SIMPLE","COMMERCIAL / BUSINESS OFFICE","N","N","833","18","08B","1145727","1853720","41.754592961","-87.741528537","
,  
(41.754592961, -87.741528537)"
"JG248756","2023-05-05T09:19:00.000","054XX S JUSTINE ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VACANT LOT / LAND","Y","N","934","16","07","1166932","1868562","41.794894765","-87.663394425","
,  
(41.794894765, -87.663394425)"
"JG248894","2023-05-05T09:30:00.000","067XX S MERRILL AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","N","Y","331","5","08A","1191703","1860748","41.772886964","-87.572813896","
,  
(41.772886964, -87.572813896)"
"JG249032","2023-05-05T09:30:00.000","113XX S CHURCH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","2212","19","07","1166208","1829738","41.688371492","-87.66715145","
,  
(41.688371492, -87.66715145)"
"JG248803","2023-05-05T09:30:00.000","078XX S STEWART AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT","N","N","621","17","04A","1174982","1853057","41.752171363","-87.634337325","
,  
(41.752171363, -87.634337325)"
"JG248780","2023-05-05T09:32:00.000","009XX S HOMAN AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","SCHOOL - PUBLIC GROUNDS","N","N","1134","24","08A","1153851","1895648","41.869491903","-87.710642788","
,  
(41.869491903, -87.710642788)"
"JG248772","2023-05-05T09:35:00.000","008XX W ARMITAGE AVE","0860","THEFT","RETAIL THEFT","DRUG STORE","N","N","1812","43","06","1170209","1913507","41.918156823","-87.650066159","
,  
(41.918156823, -87.650066159)"
"JG248723","2023-05-05T09:36:00.000","034XX W DOUGLAS BLVD","2024","NARCOTICS","POSSESS - HEROIN (WHITE)","SIDEWALK","Y","N","1021","24","18","1153608","1893242","41.862894406","-87.711598886","
,  
(41.862894406, -87.711598886)"
"JG248754","2023-05-05T09:45:00.000","001XX E 56TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","Y","Y","231","20","08B","1178240","1867931","41.792913934","-87.621947404","
,  
(41.792913934, -87.621947404)"
"JG248786","2023-05-05T09:50:00.000","012XX S KEDVALE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","1011","24","08B","1148911","1894156","41.86549458","-87.728817596","
,  
(41.86549458, -87.728817596)"
"JG248759","2023-05-05T09:57:00.000","033XX N HAMLIN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","Y","Y","1732","30","08B","1150470","1921914","41.941634997","-87.722368639","
,  
(41.941634997, -87.722368639)"
"JG249241","2023-05-05T10:00:00.000","052XX S CORNELL AVE","0810","THEFT","OVER $500","APARTMENT","N","N","234","5","06","1188039","1870855","41.800709473","-87.585922883","
,  
(41.800709473, -87.585922883)"
"JG250341","2023-05-05T10:00:00.000","011XX N WESTERN AVE","0460","BATTERY","SIMPLE","SCHOOL - PUBLIC BUILDING","N","N","1212","1","08B","1160197","1907701","41.902437713","-87.687011559","
,  
(41.902437713, -87.687011559)"
"JG248782","2023-05-05T10:00:00.000","016XX N PARKSIDE AVE","1360","CRIMINAL TRESPASS","TO VEHICLE","RESIDENCE","Y","N","2531","29","26","1138467","1910340","41.910100956","-87.766766244","
,  
(41.910100956, -87.766766244)"
"JG273199","2023-05-05T10:00:00.000","039XX N KEELER AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESIDENCE","N","N","1731","45","11","1147701","1925893","41.952607406","-87.732443411","
,  
(41.952607406, -87.732443411)"
"JG249233","2023-05-05T10:00:00.000","060XX N KILPATRICK AVE","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC BUILDING","N","N","1711","39","08A","1143945","1939771","41.990761147","-87.745900957","
,  
(41.990761147, -87.745900957)"
"JG263921","2023-05-05T10:00:00.000","001XX E DELAWARE PL","1581","SEX OFFENSE","NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES","HOTEL / MOTEL","N","Y","1833","42","17","1176911","1906649","41.899189017","-87.625650736","
,  
(41.899189017, -87.625650736)"
"JG248812","2023-05-05T10:00:00.000","076XX S CICERO AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","833","18","14","1145727","1853720","41.754592961","-87.741528537","
,  
(41.754592961, -87.741528537)"
"JG249068","2023-05-05T10:00:00.000","027XX W 23RD PL","1320","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","N","N","1034","25","14","1158505","1888285","41.84919315","-87.693757993","
,  
(41.84919315, -87.693757993)"
"JG248766","2023-05-05T10:00:00.000","047XX W HARRISON ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","1131","24","08B","1144975","1896934","41.873192907","-87.743196874","
,  
(41.873192907, -87.743196874)"
"JG249157","2023-05-05T10:00:00.000","035XX W 13TH PL","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","N","N","1021","24","14","1152911","1893675","41.86409643","-87.714146052","
,  
(41.86409643, -87.714146052)"
"JG252907","2023-05-05T10:00:00.000","082XX S ELIZABETH ST","0820","THEFT","$500 AND UNDER","RESIDENCE","N","Y","613","17","06","1169426","1850104","41.744189992","-87.654782936","
,  
(41.744189992, -87.654782936)"
"JG248814","2023-05-05T10:01:00.000","057XX S CICERO AVE","0810","THEFT","OVER $500","AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","N","N","813","13","06","1145654","1866253","41.788987036","-87.74147999","
,  
(41.788987036, -87.74147999)"
"JG248816","2023-05-05T10:02:00.000","0000X W 110TH ST","1365","CRIMINAL TRESPASS","TO RESIDENCE","RESIDENCE","Y","N","513","9","26","1177936","1832026","41.694393194","-87.624147184","
,  
(41.694393194, -87.624147184)"
